committee_name,support_oppose_indicator,candidate_name,candidate_party,expenditure_amount,expenditure_description,expenditure_date,report_year
LCV VICTORY FUND,O,"TOOMEY, PAT",REP,150000.0,"DIGITAL AD PRODUCTION AND BUY (REPORTED WITH ESTIMATE OF $150,000 ON 48-HOUR REPORT FILED 9/9/16)",2016-09-06 00:00:00,2016
LCV VICTORY FUND,S,"CLINTON, HILLARY",DEM,255.07,PRINTING AND STATIONARY,2016-04-13 00:00:00,2016
LCV VICTORY FUND,S,"CORTEZ MASTO, CATHERINE",DEM,20542.88,TV  AD PRODUCTION,2016-10-13 00:00:00,2016
LCV VICTORY FUND,O,"HECK, JOE",REP,35625.0,TV  AD BUY,2016-10-06 00:00:00,2016
LCV VICTORY FUND,S,"CLINTON, HILLARY",DEM,834.96,POSTAGE,2016-04-21 00:00:00,2016
LCV VICTORY FUND,O,"TOOMEY, PAT",REP,485696.0,TV AD BUY,2016-08-26 00:00:00,2016
LCV VICTORY FUND,O,"JOHNSON, RON",REP,18.16,STAFF TIME FOR PRESS RELEASE,2016-09-01 00:00:00,2016
LCV VICTORY FUND,O,"TRUMP, DONALD J.",REP,307465.93,MAILER AND POSTAGE,2016-10-28 00:00:00,2016
LCV VICTORY FUND,O,"JOHNSON, RON",REP,54.48,STAFF TIME FOR PRESS RELEASE,2016-07-26 00:00:00,2016
LCV VICTORY FUND,O,"HECK, JOE",REP,304119.0,TV  AD BUY,2016-10-07 00:00:00,2016
LCV VICTORY FUND,S,"CLINTON, HILLARY",DEM,34664.0,ITOUCH RENTAL,2016-09-28 00:00:00,2016
